experiment,model,method,n_forecasts,baseline_prediction_seconds,reconciliation_seconds,total_prediction_seconds,overhead_seconds,slowdown_vs_base,baseline_ms_per_forecast,reconciliation_ms_per_forecast,total_ms_per_forecast,failed
LOBSTER bid/ask,rolling_mean,base,100,0.05696420499589294,0.0,0.05696420499589294,0.0,1.0,0.5696420499589294,0.0,0.5696420499589294,0
LOBSTER bid/ask,rolling_mean,ols,100,0.05696420499589294,0.5206626289873384,0.5776268339832313,0.5206626289873384,10.14017195579009,0.5696420499589294,5.206626289873384,5.776268339832313,0
LOBSTER bid/ask,rolling_mean,wls,100,0.05696420499589294,5.712041913007852,5.769006118003745,5.712041913007852,101.274232097502,0.5696420499589294,57.12041913007852,57.690061180037446,0
LOBSTER bid/ask,rolling_mean,shr,100,0.05696420499589294,5.686384692962747,5.74334889795864,5.686384692962747,100.82382258073696,0.5696420499589294,56.86384692962747,57.4334889795864,0
