forecast,mae,rmse,smape,constraint_violation,p_reconciled_better,method
base,204.17051850464816,366.15131882443825,1.3299133563804482,114.31851714185724,,base
nlcr,205.66612581151085,365.3004683731127,1.3341221753780539,4.294669878316389e-12,0.9895833333333334,ols
nlcr,202.06370238036095,362.8126844610749,1.3268022245717754,9.056496516129625e-12,0.5625,wls
nlcr,210.54193725773132,408.6379306484266,1.3758258095796518,6.9528689795434756e-12,0.4270833333333333,shr
