forecast,mae,rmse,smape,constraint_violation,p_reconciled_better,method
base,65.58661429142423,219.36821038279382,0.43701197930081903,0.1620387804347687,,base
nlcr,65.5855957285825,219.36821696465464,0.41764091179724744,2.0255351175898004e-11,0.45,ols
nlcr,62.02291335849548,219.60087657231813,0.4296190310421079,1.4012946541773595e-11,0.6,wls
nlcr,61.93923160143998,219.6958703046489,0.42992366720931185,1.3874531608623762e-11,0.6,shr
