experiment,model,method,n_forecasts,baseline_prediction_seconds,reconciliation_seconds,total_prediction_seconds,overhead_seconds,slowdown_vs_base,baseline_ms_per_forecast,reconciliation_ms_per_forecast,total_ms_per_forecast,failed,fit_seconds,calibration_prediction_seconds,end_to_end_seconds
Synthetic,rolling_mean,base,80,0.0694725470384582,0.0,0.0694725470384582,0.0,1.0,0.8684068379807286,0.0,0.8684068379807286,0.0,,,
Synthetic,rolling_mean,ols,80,0.0694725470384582,0.874699531996157,0.9441720790346152,0.874699531996157,13.590578138900607,0.8684068379807286,10.933744149951965,11.802150987932691,0.0,,,
Synthetic,rolling_mean,wls,80,0.0694725470384582,1.547974577988498,1.6174471250269562,1.547974577988498,23.28181697630256,0.8684068379807286,19.349682224856224,20.218089062836956,0.0,,,
Synthetic,rolling_mean,shr,80,0.0694725470384582,1.8462750599719584,1.915747607010417,1.8462750599719584,27.575606317556,0.8684068379807286,23.07843824964948,23.94684508763021,0.0,,,
Household Power,rolling_mean,base,96,0.0636479760287329,0.0,0.0636479760287329,0.0,1.0,0.6629997502993016,0.0,0.6629997502993016,0.0,,,
Household Power,rolling_mean,ols,96,0.0636479760287329,1.063971125986427,1.12761910201516,1.063971125986427,17.716495831793814,0.6629997502993016,11.083032562358616,11.746032312657915,0.0,,,
Household Power,rolling_mean,wls,96,0.0636479760287329,7.608885648020077,7.67253362404881,7.608885648020077,120.54638816142648,0.6629997502993016,79.25922550020914,79.92222525050845,0.0,,,
Household Power,rolling_mean,shr,96,0.0636479760287329,10.077135279017966,10.1407832550467,10.077135279017966,159.32609153932546,0.6629997502993016,104.97015915643716,105.63315890673644,0.0,,,
M5,rolling_mean,base,84,0.0436578550143167,0.0,0.0436578550143167,0.0,1.0,0.5197363692180564,0.0,0.5197363692180564,0.0,,,
M5,rolling_mean,ols,84,0.0436578550143167,0.4756339240120724,0.5192917790263891,0.4756339240120724,11.894578395024162,0.5197363692180564,5.662308619191338,6.182044988409395,0.0,,,
