method,metric,time_index,improvement,nlcr_better
ols,mae,0,0.29783480943947893,True
ols,mae,1,0.24471726302434504,True
ols,mae,2,-0.004335235999029408,False
ols,mae,3,0.43383287778941426,True
ols,mae,4,0.008355962173572706,True
ols,mae,5,-0.37618878939882716,False
ols,mae,6,0.0016665413276815144,True
ols,mae,7,-0.0035315257214403317,False
ols,mae,8,-0.0019731783761098853,False
ols,mae,9,0.16528735124940397,True
ols,mae,10,-0.0015676997892306588,False
ols,mae,11,-0.03158768313290761,False
ols,mae,12,0.14771773797278165,True
ols,mae,13,0.03923595874770047,True
ols,mae,14,-0.0017051172672015724,False
ols,mae,15,-0.5973525762895218,False
ols,mae,16,-0.5990917653068788,False
ols,mae,17,-0.00034284692164110453,False
ols,mae,18,-0.45576805045359325,False
ols,mae,19,0.5660034769960589,True
ols,mae,20,0.23792580695939058,True
ols,mae,21,-0.07916226360078049,False
ols,mae,22,-0.15078564139234452,False
ols,mae,23,-0.001922240414461207,False
ols,mae,24,-0.004025854490019132,False
ols,mae,25,0.3004445241164415,True
ols,mae,26,-0.049950270824119514,False
ols,mae,27,-0.21510132772788992,False
ols,mae,28,0.6180520515498316,True
ols,mae,29,0.46340791796112324,True
ols,mae,30,0.5616643483880068,True
ols,mae,31,0.618089380851476,True
ols,mae,32,0.00832185079245562,True
ols,mae,33,-0.46521255065168177,False
ols,mae,34,-0.11824673340502834,False
ols,mae,35,-0.3694122451180881,False
ols,mae,36,-0.05079406381143503,False
ols,mae,37,-0.004019025936528031,False
ols,mae,38,-0.0017030697426316799,False
ols,mae,39,-0.002284907883539411,False
ols,mae,40,-0.016741094266446765,False
ols,mae,41,0.0010810502058529181,True
ols,mae,42,0.17208112758701288,True
ols,mae,43,0.3219299028125171,True
ols,mae,44,0.3124352252009537,True
ols,mae,45,-0.002129211413778087,False
ols,mae,46,0.24959938341954224,True
ols,mae,47,0.00021045107449246814,True
ols,mae,48,-0.031155959818974566,False
ols,mae,49,0.0020183521286796235,True
ols,mae,50,0.0034299025406250294,True
ols,mae,51,-0.0669912235495218,False
ols,mae,52,-0.0008311139059962169,False
ols,mae,53,-0.0300816343699708,False
ols,mae,54,-0.26695401923530326,False
ols,mae,55,-0.009143698854288118,False
ols,mae,56,-0.0016129005255280937,False
ols,mae,57,0.2762511308390252,True
ols,mae,58,0.20612249990658427,True
ols,mae,59,0.007090816978163161,True
ols,mae,60,0.003947031806942114,True
ols,mae,61,0.0792256305892316,True
ols,mae,62,0.02137123230905047,True
ols,mae,63,-0.09230247825320359,False
ols,mae,64,-0.3644595009692422,False
ols,mae,65,0.390623685602689,True
ols,mae,66,0.029336281845981915,True
ols,mae,67,0.007182450907464499,True
ols,mae,68,-0.7470713817813639,False
ols,mae,69,-0.8343224217791807,False
ols,mae,70,-0.39113888015008946,False
ols,mae,71,0.172622114866817,True
ols,mae,72,1.012303743112854,True
ols,mae,73,-0.005913658598799998,False
ols,mae,74,-0.013333341201416715,False
ols,mae,75,9.422619133303556e-05,True
ols,mae,76,0.15076633840424947,True
ols,mae,77,-0.06839465887858154,False
ols,mae,78,-0.1501574581851699,False
ols,mae,79,-0.4584853443462391,False
ols,mae,80,-0.14875379583048876,False
ols,mae,81,-0.0030848584940548207,False
ols,mae,82,0.3217846957700532,True
ols,mae,83,0.08223152771247744,True
ols,rmse,0,0.020924631077821942,True
ols,rmse,1,0.015160936509143852,True
ols,rmse,2,0.038125718483653426,True
ols,rmse,3,0.07790501951008011,True
ols,rmse,4,0.13024873817464755,True
ols,rmse,5,0.042934625544916116,True
ols,rmse,6,0.005215385299432995,True
ols,rmse,7,1.7997180439266458e-05,True
ols,rmse,8,0.013656651595017166,True
ols,rmse,9,0.005185315707244342,True
ols,rmse,10,0.00011891618830439654,True
ols,rmse,11,0.00045619239766203634,True
ols,rmse,12,0.01159059682091268,True
ols,rmse,13,0.056590555574725254,True
ols,rmse,14,0.035002841729212086,True
ols,rmse,15,0.06692847389001955,True
ols,rmse,16,0.08915978231524058,True
ols,rmse,17,0.10866729144439624,True
ols,rmse,18,0.11151179303886138,True
ols,rmse,19,0.035733499604649666,True
