method,metric,time_index,improvement,nlcr_better
ols,mae,0,-0.0025199836437792555,False
ols,mae,1,-0.002129848426088543,False
ols,mae,2,0.0017272339060601105,True
ols,mae,3,-0.001241207833782454,False
ols,mae,4,0.0015816277267273193,True
ols,mae,5,0.0008541482927668653,True
ols,mae,6,-0.0023118910554380534,False
ols,mae,7,-0.00362915175936962,False
ols,mae,8,0.0023261721932499313,True
ols,mae,9,0.0016972878965031413,True
ols,mae,10,-0.004247208346139786,False
ols,mae,11,0.007093376973415388,True
ols,mae,12,0.006958962445011707,True
ols,mae,13,0.011794671458815742,True
ols,mae,14,-0.010703448436263585,False
ols,mae,15,-0.008389115002170655,False
ols,mae,16,0.00552442029365352,True
ols,mae,17,-0.01137832244008763,False
ols,mae,18,-0.014865332986587987,False
ols,mae,19,-0.0138712092685509,False
ols,mae,20,0.019722233592844418,True
ols,mae,21,-0.022277062468077702,False
ols,mae,22,0.016480447396958198,True
ols,mae,23,0.020485122475754736,True
ols,mae,24,-0.018413005791344972,False
ols,mae,25,0.01899965925818492,True
ols,mae,26,0.022861139006323583,True
ols,mae,27,0.02434016669960215,True
ols,mae,28,-0.027329429611995693,False
ols,mae,29,0.024440794193321125,True
ols,mae,30,-0.02776718994552141,False
ols,mae,31,-0.02860397375741286,False
ols,mae,32,-0.024037999872476234,False
ols,mae,33,-0.02157000972812284,False
ols,mae,34,0.03435121099974481,True
ols,mae,35,0.0020003947193885097,True
ols,mae,36,0.033873156223407364,True
ols,mae,37,-0.03492837066865917,False
ols,mae,38,-0.027600752973654608,False
ols,mae,39,0.02309030240747134,True
ols,mae,40,-0.022183353335307743,False
ols,mae,41,-0.020858075431462453,False
ols,mae,42,0.01329393207664964,True
ols,mae,43,0.0024165704735708005,True
ols,mae,44,-0.0163772977340102,False
ols,mae,45,0.0038024841580082125,True
ols,mae,46,0.01097424019192772,True
ols,mae,47,-0.009192837301682744,False
ols,mae,48,0.002888416596920962,True
ols,mae,49,-0.011447756245708263,False
ols,mae,50,0.0004892969884409126,True
ols,mae,51,-0.008545234917335165,False
ols,mae,52,-0.010205520118844902,False
ols,mae,53,0.014363574638021959,True
ols,mae,54,-0.012382516004016964,False
ols,mae,55,0.014407088351561015,True
ols,mae,56,0.022666758497635442,True
ols,mae,57,-0.035528171613378845,False
ols,mae,58,-0.03133794655465749,False
ols,mae,59,-0.026817763038387454,False
ols,mae,60,0.01263097118336276,True
ols,mae,61,0.03100983174005023,True
