experiment,model,method,n_forecasts,baseline_prediction_seconds,reconciliation_seconds,total_prediction_seconds,overhead_seconds,slowdown_vs_base,baseline_ms_per_forecast,reconciliation_ms_per_forecast,total_ms_per_forecast,failed
Household Power,rolling_mean,base,96,0.06364797602873296,0.0,0.06364797602873296,0.0,1.0,0.6629997502993016,0.0,0.6629997502993016,0
Household Power,rolling_mean,ols,96,0.06364797602873296,1.063971125986427,1.12761910201516,1.063971125986427,17.716495831793814,0.6629997502993016,11.083032562358616,11.746032312657917,0
Household Power,rolling_mean,wls,96,0.06364797602873296,7.6088856480200775,7.6725336240488105,7.6088856480200775,120.54638816142648,0.6629997502993016,79.25922550020914,79.92222525050845,0
Household Power,rolling_mean,shr,96,0.06364797602873296,10.077135279017966,10.1407832550467,10.077135279017966,159.32609153932546,0.6629997502993016,104.97015915643715,105.63315890673645,0
