experiment,n_forecasts,baseline_prediction_seconds,reconciliation_seconds,total_prediction_seconds,overhead_seconds,slowdown_vs_base,baseline_ms_per_forecast,reconciliation_ms_per_forecast,total_ms_per_forecast
Simulation 1: quartic,2408000,0.429760642175097,233.77877466590144,234.20853530807653,233.77877466590144,544.9743702045502,0.00017847202748135258,0.09708420874829794,0.09726268077577929
Simulation 2: ratio,1125000,124.67074955318822,93.92760357510997,218.59835312829819,93.92760357510997,1.7534053008563784,0.11081844404727842,0.08349120317787553,0.19430964722515395
