rho,gamma,m,alpha,beta,n_true,n_valid,n_fail,p_reconciled_better
-0.4,0.5,-0.7853981633974483,-50.0,10.0,1000,1000,0,0.914
-0.4,0.5,-0.7853981633974483,-50.0,25.0,1000,1000,0,0.991
-0.4,0.5,-0.7853981633974483,-25.0,-25.0,1000,1000,0,1.0
-0.4,0.5,-0.7853981633974483,-25.0,-10.0,1000,1000,0,0.983
-0.4,0.5,-0.7853981633974483,-25.0,0.0,1000,1000,0,0.964
-0.4,0.5,-0.7853981633974483,-25.0,10.0,1000,1000,0,0.985
-0.4,0.5,-0.7853981633974483,-25.0,25.0,1000,1000,0,0.995
-0.4,0.5,-0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
-0.4,0.5,-0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
-0.4,0.5,-0.7853981633974483,0.0,0.0,1000,1000,0,0.999
-0.4,0.5,-0.7853981633974483,0.0,10.0,1000,1000,0,1.0
-0.4,0.5,-0.7853981633974483,0.0,25.0,1000,1000,0,1.0
-0.4,0.5,-0.7853981633974483,25.0,-25.0,1000,1000,0,0.999
-0.4,0.5,-0.7853981633974483,25.0,-10.0,1000,1000,0,0.971
-0.4,0.5,-0.7853981633974483,25.0,0.0,1000,1000,0,0.949
-0.4,0.5,-0.7853981633974483,25.0,10.0,1000,1000,0,0.968
-0.4,0.5,-0.7853981633974483,25.0,25.0,1000,1000,0,0.996
-0.4,0.5,-0.7853981633974483,50.0,-25.0,1000,1000,0,0.991
-0.4,0.5,-0.7853981633974483,50.0,-10.0,1000,1000,0,0.916
-0.4,0.5,-0.7853981633974483,50.0,0.0,1000,1000,0,0.791
-0.4,0.5,-0.7853981633974483,50.0,10.0,1000,1000,0,0.837
-0.4,0.5,-0.7853981633974483,50.0,25.0,1000,1000,0,0.978
0.0,0.5,-0.7853981633974483,-50.0,-25.0,1000,1000,0,0.996
0.0,0.5,-0.7853981633974483,-50.0,-10.0,1000,1000,0,0.948
0.0,0.5,-0.7853981633974483,-50.0,0.0,1000,1000,0,0.88
0.0,0.5,-0.7853981633974483,-50.0,10.0,1000,1000,0,0.927
0.0,0.5,-0.7853981633974483,-50.0,25.0,1000,1000,0,0.996
0.0,0.5,-0.7853981633974483,-25.0,-25.0,1000,1000,0,1.0
0.0,0.5,-0.7853981633974483,-25.0,-10.0,1000,1000,0,0.981
0.0,0.5,-0.7853981633974483,-25.0,0.0,1000,1000,0,0.96
0.0,0.5,-0.7853981633974483,-25.0,10.0,1000,1000,0,0.98
0.0,0.5,-0.7853981633974483,-25.0,25.0,1000,1000,0,0.998
0.0,0.5,-0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
0.0,0.5,-0.7853981633974483,0.0,-10.0,1000,1000,0,0.999
0.0,0.5,-0.7853981633974483,0.0,0.0,1000,1000,0,1.0
0.0,0.5,-0.7853981633974483,0.0,10.0,1000,1000,0,1.0
0.0,0.5,-0.7853981633974483,0.0,25.0,1000,1000,0,1.0
0.0,0.5,-0.7853981633974483,25.0,-25.0,1000,1000,0,0.998
0.0,0.5,-0.7853981633974483,25.0,-10.0,1000,1000,0,0.975
0.0,0.5,-0.7853981633974483,25.0,0.0,1000,1000,0,0.957
0.0,0.5,-0.7853981633974483,25.0,10.0,1000,1000,0,0.976
0.0,0.5,-0.7853981633974483,25.0,25.0,1000,1000,0,0.996
0.0,0.5,-0.7853981633974483,50.0,-25.0,1000,1000,0,0.995
0.0,0.5,-0.7853981633974483,50.0,-10.0,1000,1000,0,0.901
0.0,0.5,-0.7853981633974483,50.0,0.0,1000,1000,0,0.795
0.0,0.5,-0.7853981633974483,50.0,10.0,1000,1000,0,0.852
0.0,0.5,-0.7853981633974483,50.0,25.0,1000,1000,0,0.982
0.4,0.5,-0.7853981633974483,-50.0,-25.0,1000,1000,0,1.0
0.4,0.5,-0.7853981633974483,-50.0,-10.0,1000,1000,0,0.929
0.4,0.5,-0.7853981633974483,-50.0,0.0,1000,1000,0,0.884
0.4,0.5,-0.7853981633974483,-50.0,10.0,1000,1000,0,0.919
0.4,0.5,-0.7853981633974483,-50.0,25.0,1000,1000,0,0.993
0.4,0.5,-0.7853981633974483,-25.0,-25.0,1000,1000,0,0.998
0.4,0.5,-0.7853981633974483,-25.0,-10.0,1000,1000,0,0.982
0.4,0.5,-0.7853981633974483,-25.0,0.0,1000,1000,0,0.965
0.4,0.5,-0.7853981633974483,-25.0,10.0,1000,1000,0,0.981
0.4,0.5,-0.7853981633974483,-25.0,25.0,1000,1000,0,1.0
0.4,0.5,-0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
0.4,0.5,-0.7853981633974483,0.0,-10.0,1000,1000,0,0.999
0.4,0.5,-0.7853981633974483,0.0,0.0,1000,1000,0,1.0
0.4,0.5,-0.7853981633974483,0.0,10.0,1000,1000,0,1.0
0.4,0.5,-0.7853981633974483,0.0,25.0,1000,1000,0,1.0
0.4,0.5,-0.7853981633974483,25.0,-25.0,1000,1000,0,0.997
0.4,0.5,-0.7853981633974483,25.0,-10.0,1000,1000,0,0.975
0.4,0.5,-0.7853981633974483,25.0,0.0,1000,1000,0,0.96
0.4,0.5,-0.7853981633974483,25.0,10.0,1000,1000,0,0.969
0.4,0.5,-0.7853981633974483,25.0,25.0,1000,1000,0,0.998
0.4,0.5,-0.7853981633974483,50.0,-25.0,1000,1000,0,0.994
0.4,0.5,-0.7853981633974483,50.0,-10.0,1000,1000,0,0.915
0.4,0.5,-0.7853981633974483,50.0,0.0,1000,1000,0,0.795
0.4,0.5,-0.7853981633974483,50.0,10.0,1000,1000,0,0.839
0.4,0.5,-0.7853981633974483,50.0,25.0,1000,1000,0,0.981
0.8,0.5,-0.7853981633974483,-50.0,-25.0,1000,1000,0,0.999
0.8,0.5,-0.7853981633974483,-50.0,-10.0,1000,1000,0,0.934
0.8,0.5,-0.7853981633974483,-50.0,0.0,1000,1000,0,0.888
0.8,0.5,-0.7853981633974483,-50.0,10.0,1000,1000,0,0.924
0.8,0.5,-0.7853981633974483,-50.0,25.0,1000,1000,0,0.996
0.8,0.5,-0.7853981633974483,-25.0,-25.0,1000,1000,0,0.998
0.8,0.5,-0.7853981633974483,-25.0,-10.0,1000,1000,0,0.98
0.8,0.5,-0.7853981633974483,-25.0,0.0,1000,1000,0,0.96
0.8,0.5,-0.7853981633974483,-25.0,10.0,1000,1000,0,0.98
0.8,0.5,-0.7853981633974483,-25.0,25.0,1000,1000,0,0.999
0.8,0.5,-0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
0.8,0.5,-0.7853981633974483,0.0,-10.0,1000,1000,0,0.999
0.8,0.5,-0.7853981633974483,0.0,0.0,1000,1000,0,0.999
0.8,0.5,-0.7853981633974483,0.0,10.0,1000,1000,0,1.0
0.8,0.5,-0.7853981633974483,0.0,25.0,1000,1000,0,1.0
0.8,0.5,-0.7853981633974483,25.0,-25.0,1000,1000,0,0.997
0.8,0.5,-0.7853981633974483,25.0,-10.0,1000,1000,0,0.975
0.8,0.5,-0.7853981633974483,25.0,0.0,1000,1000,0,0.952
0.8,0.5,-0.7853981633974483,25.0,10.0,1000,1000,0,0.976
0.8,0.5,-0.7853981633974483,25.0,25.0,1000,1000,0,0.999
0.8,0.5,-0.7853981633974483,50.0,-25.0,1000,1000,0,0.997
0.8,0.5,-0.7853981633974483,50.0,-10.0,1000,1000,0,0.908
0.8,0.5,-0.7853981633974483,50.0,0.0,1000,1000,0,0.801
0.8,0.5,-0.7853981633974483,50.0,10.0,1000,1000,0,0.836
0.8,0.5,-0.7853981633974483,50.0,25.0,1000,1000,0,0.989
-0.8,0.5,0.0,-50.0,-25.0,1000,1000,0,0.999
-0.8,0.5,0.0,-50.0,-10.0,1000,1000,0,0.989
